sites.sitename,lat,lon,mean,stand.age,dominant.veg,scientific.name,variable.name,city,state,country,soil.classification,continent,biogeog,FAO.ecozone
Doi Inthanon,18.5248,98.4965,285.0,999,2TEB,,biomass_ag_C,NAC,Chiang Mai,Thailand,NAC,Asia,IndoMalay,Tropical mountain system
Dooary,52.95,-7.25,61.62,17,2TEN,,biomass_ag_C,NAC,Laois,Ireland,NAC,Europe,Palearctic,Temperate oceanic forest
Duke Forest Loblolly Pine,35.9782,-79.0942,51.28,15,2TEN,Pinus taeda,biomass_ag_C,Durham,North Carolina,United States of America,Alfisol,North America,Nearctic,Subtropical humid forest
Eastern Jamaica,18.0,-77.0,204.0,999,2TEB,,biomass_ag_C,NAC,Saint Catherine,Jamaica,NAC,North America,Neotropics,Tropical rainforest
Eerguna Larix,50.8,121.5,61.9,136,2TDN,,biomass_ag_C,NAC,Inner Mongol,China,NAC,Asia,Palearctic,Boreal coniferous forest
Eerguna Pinus sylvestris var. mongolica,50.8,121.5,47.9,130,2TEN,,biomass_ag_C,NAC,Inner Mongol,China,NAC,Asia,Palearctic,Boreal coniferous forest
"Eerguna, Hulunbeier",52.6,120.6,48.7,90,2TEN,,biomass_ag_C,Hulunbeier,Inner Mongol,China,NAC,Asia,Palearctic,Boreal coniferous forest
El Ocote biosphere preserve,16.95583,-93.63056,20.1,3,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,57.0,13,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,52.4,18,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,79.1,23,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,89.6,28,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,82.1,35,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,36.8,8,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,1.5,1,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,11.1,2,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,22.8,2,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,2.9,3,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,8.2,3,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,18.8,3,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,20.4,3,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,26.1,3,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,70.4,3,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,26.8,4,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,19.9,5,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,42.5,5,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,76.6,5,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,11.7,6,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,21.9,6,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,75.9,6,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,21.9,7,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,31.6,7,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,43.8,7,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,69.1,8,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,30.1,9,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,34.3,9,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,42.5,9,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,63.5,9,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,67.7,9,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,77.2,9,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,35.6,10,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,40.9,10,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,49.8,11,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,93.0,11,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,45.8,12,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,93.6,12,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,84.1,13,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,54.0,14,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,72.3,14,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,99.8,14,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,82.5,15,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,70.3,15,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,58.8,15,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,42.4,15,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,39.6,15,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,36.2,16,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,53.7,16,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,86.7,16,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,68.3,17,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,65.5,17,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,81.8,21,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,88.2,23,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,95.6,23,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,116.8,24,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,108.6,25,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,68.1,25,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,64.1,28,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,131.8,29,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,63.4,30,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,131.6,30,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
El Ocote biosphere preserve,16.95583,-93.63056,132.9,30,2TEB,,biomass_ag_C,NAC,Chiapas,Mexico,"Leptosols, Luvisols, Regosols",North America,Neotropics,Tropical rainforest
